PARCEL_NO,ParcelNo
9  7611-6,090 7611-6
22 49118.,22049118.
21 28942.,21028942.
22 110238.,22110238.
3  1317-24,030 1317-24
22 70536.,22070536.
20 15968.,20015968.
17 12876.,17012876.
13 4566.,13004566.
17 40-5,17000040-5
16 37252.,16037252.
18 10749.,18010749.
22 94802.,22094802.
22 76965.,22076965.
1  4163.,010 4163.
16 21319.,16021319.
18 17126.,18017126.
21 6626.,21006626.
16 3158.,16003158.
13 9024.,13009024.
22 75733.,22075733.
8  1722.,080 1722.
20 4322.,20004322.
22 45728.,22045728.
10 7249.,10007249.
19 30.,19000030.
21 29746-7,21029746-7
4  2211.,040 2211.
22 15322-3,22015322-3
16 7354.,16007354.
22 79013.,22079013.
19 10014.,19010014.
20 2031-2,20002031-2
18 4401.,18004401.
20 16281.,20016281.
14 6299.,14006299.
1  1027.,010 1027.
22 85424.,22085424.
16 24193-4,16024193-4
22 120.,22000120.
1  275.,0100 275.
22 59425.,22059425.
22 112262.,22112262.
21 75996.,21075996.
22 98957.019,22098957.019
22 125591.,22125591.
22 26398.,22026398.
22 36531.,22036531.
17 8138.,17008138.
20 16335.,20016335.
21 15884.,21015884.
21 8434.,21008434.
18 12721.,18012721.
22 86474.,22086474.
22 23794.,22023794.
22 54521.,22054521.
21 31135.,21031135.
9  16598-605,09 16598-605
11 3342.,11003342.
22 11994.,22011994.
8  6020.,080 6020.
22 104885.,22104885.
22 118759.,22118759.
10 3837.,10003837.
21 636.,21000636.
21 49962.,21049962.
15 8020-1,15008020-1
19 9094.,19009094.
22 58819.016,22058819.016
14 4763.,14004763.
21 16086.,21016086.
21 61504.,21061504.
22 13704.,22013704.
22 1897-9,22001897-9
13 22823-4,13022823-4
22 45693.,22045693.
22 77079.,22077079.
22 25138-9,22025138-9
21 65716.,21065716.
16 12908.,16012908.
17 15285.,17015285.
22 1535-7,22001535-7
2  5385.,020 5385.
21 14862-3,21014862-3
2  487.002L,0200 487.002L
20 7884.,20007884.
22 38443.,22038443.
22 22833.,22022833.
16 9248-9,16009248-9
21 1633-7,21001633-7
17 2987.,17002987.
16 43445.,16043445.
6  442-8,0600 442-8
21 66227.,21066227.
19 6268.,19006268.
21 29325.,21029325.
21 46863.,21046863.
13 2986.,13002986.
21 64936.,21064936.
2  3634.,020 3634.
1  4190-201,010 4190-201
12 4516.,12004516.
4  4012-5,040 4012-5
20 17712.001,20017712.001
21 49130.,21049130.
22 15154-5,22015154-5
3  1479-80,030 1479-80
3  3341-4,030 3341-4
22 45576.,22045576.
16 31953.,16031953.
21 66962.,21066962.
1  4234.,010 4234.
2  879.003,0200 879.003
5  1822-3,050 1822-3
22 71798.,22071798.
21 73478.,21073478.
19 38.,19000038.
16 21977.,16021977.
22 22811.,22022811.
22 61502-3,22061502-3
21 68151.008,21068151.008
8  9483.,080 9483.
18 9733.002,18009733.002
6  442-8,0600 442-8
22 67300.,22067300.
20 17708.001,20017708.001
4 2065.,04002065.
22 94730.,22094730.
16 29830.,16029830.
1  1217.,010 1217.
22 72087.,22072087.
14 11306-7,14011306-7
20 13966-7,20013966-7
21 46346.,21046346.
2  1268-70,020 1268-70
21 26808.,21026808.
17 13627.,17013627.
15 10755.,15010755.
21 67750.,21067750.
16 43000.,16043000.
14 2452.,14002452.
21 9220.,21009220.
22 122159.,22122159.
1  1042.,010 1042.
22 21246.,22021246.
21 53137.,21053137.
20 3014.,20003014.
14 4497.,14004497.
2  1996.,020 1996.
1  4142-54,010 4142-54
21 73505.,21073505.
21 12259.,21012259.
21 11601.,21011601.
9  19612.,09 19612.
17 15643.,17015643.
22 79152.,22079152.
8  8214.,080 8214.
2  886.005,0200 886.005
22 52407.,22052407.
9  21270.,09 21270.
22 28889.,22028889.
18 12568.,18012568.
21 49107.,21049107.
16 33930.,16033930.
17 7977.,17007977.
2  171.,0200 171.
9  15379.,09 15379.
2  1871.,020 1871.
16 10848.,16010848.
20 15944.,20015944.
22 63992.,22063992.
16 136.,16000136.
19 1992.,19001992.
22 86727.,22086727.
22 22488.,22022488.
20 9154.,20009154.
22 44983.,22044983.
20 4864-5,20004864-5
7  2338.,070 2338.
2  1831.,020 1831.
19 175.,19000175.
22 118801.,22118801.
20 4249.,20004249.
22 90611-2,22090611-2
9  19355.,09 19355.
2  1810.,020 1810.
12 7591.,12007591.
17 14878.,17014878.
2  2102.,020 2102.
6  3525.,060 3525.
22 6200-2,22006200-2
22 23064.,22023064.
16 41911.,16041911.
22 121283.,22121283.
21 16597.,21016597.
19 426-7,19000426-7
22 102724.,22102724.
22 97409-10,22097409-10
1  9059-60,010 9059-60
22 117377.,22117377.
22 65132.,22065132.
22 68138.,22068138.
22 96491.,22096491.
19 9760.,19009760.
21 3136.,21003136.
22 32122.,22032122.
22 104237.016,22104237.016
21 73592.,21073592.
18 9570.,18009570.
17 7046.,17007046.
13 24927.,13024927.
21 1507-12,21001507-12
22 1368-9,22001368-9
13 9039.,13009039.
2  4646.,020 4646.
22 71897.,22071897.
20 17709.,20017709.
22 39038.,22039038.
22 34358.,22034358.
21 26230.,21026230.
22 99621.,22099621.
16 22833.,16022833.
14 8438.,14008438.
22 8438.,22008438.
22 91177.,22091177.
4  3194.,040 3194.
16 38459.,16038459.
17 14422.,17014422.
2  2282-4,020 2282-4
16 3373.,16003373.
20 14865.,20014865.
1  3850-67,010 3850-67
16 46188.,16046188.
1  004106-9,PARCEL FORMAT ERROR
21 62733.,21062733.
22 56410.,22056410.
9  22819.,09 22819.
11 3575.,11003575.
21 52757.,21052757.
16 15075.,16015075.
22 20624.002,22020624.002
22 42328.,22042328.
21 39247.,21039247.
22 122060-2,22122060-2
22 13211.,22013211.
21 62010.,21062010.
21 27392.,21027392.
2  2479.002L,020 2479.002L
9  8596-620,090 8596-620
22 27968.,22027968.
21 2703-7,21002703-7
2  3577.,020 3577.
3  2107.,030 2107.
22 81834.,22081834.
16 26292.,16026292.
22 33622.,22033622.
13 5333.,13005333.
2  5438.,020 5438.
22 40982.,22040982.
17 3843.,17003843.
16 29726.,16029726.
9  24227.,09 24227.
1  578-80,0100 578-80
7  2607.,070 2607.
21 47392.,21047392.
18 17653.,18017653.
19 9336.,19009336.
22 13294-5,22013294-5
22 47214.,22047214.
13 6064.,13006064.
22 82603.,22082603.
2  2376.,020 2376.
17 6749.,17006749.
21 13217.,21013217.
1  4159.024,010 4159.024
21 73107.,21073107.
3  3240-60,030 3240-60
22 46135.,22046135.
14 6123.,14006123.
21 23910.,21023910.
22 107306.,22107306.
14 6447.,14006447.
22 15518.,22015518.
14 7632.,14007632.
18 10370.,18010370.
3  1479-80,030 1479-80
20 16393.,20016393.
16 17737-42,16017737-42
16 22716.,16022716.
21 24546.,21024546.
2  1810-3,020 1810-3
22 64080.,22064080.
22 124456.,22124456.
19 10257.,19010257.
21 42496.,21042496.
18 4801-2,18004801-2
1  4087-96,010 4087-96
17 10205.,17010205.
8  5194-6,080 5194-6
12 3698.,12003698.
22 34834.,22034834.
17 5516.,17005516.
14 5523.,14005523.
13 23623.,13023623.
22 117475.,22117475.
22 76927.,22076927.
21 73974.,21073974.
22 41055.,22041055.
21 76952-3,21076952-3
16 32455.,16032455.
16 30964.,16030964.
9  1353-6,090 1353-6
16 19667.,16019667.
1  4384.,010 4384.
21 16781.,21016781.
22 18025.,22018025.
22 64984.,22064984.
22 91218.004L,22091218.004L
22 33450.,22033450.
21 16958.,21016958.
17 15011.,17015011.
21 73162.,21073162.
16 43164.,16043164.
22 23399.,22023399.
9  23703.,09 23703.
6  767.,0600 767.
6  3837.,060 3837.
8  1822.001,080 1822.001
22 24991.,22024991.
22 70465.,22070465.
16 11716.,16011716.
13 23923.,13023923.
22 11827.,22011827.
22 64666.,22064666.
2  2981.,020 2981.
20 12594.,20012594.
17 4521.,17004521.
22 81731.,22081731.
22 49950-2,22049950-2
22 59805.,22059805.
16 23093.,16023093.
4  3416.,040 3416.
22 116058.,22116058.
21 34845.,21034845.
16 30605.,16030605.
2  2125-6,020 2125-6
16 7015.002L,16007015.002L
22 113768-9,22113768-9
21 6208.,21006208.
10 1247.,10001247.
16 25359.,16025359.
20 16370.,20016370.
16 30379.,16030379.
14 6120.,14006120.
21 4368.,21004368.
22 103418-9,22103418-9
12 5347-8,12005347-8
16 36909.,16036909.
8  10575.,08 10575.
21 33888.,21033888.
13 8187-93,13008187-93
1  4016-8,010 4016-8
21 67360.032,21067360.032
1  4189.001,010 4189.001
22 43017.,22043017.
14 9512-6,14009512-6
22 80209-10,22080209-10
19 1584.,19001584.
17 5900.,17005900.
17 5989.,17005989.
2  5703.,020 5703.
22 86474.,22086474.
22 46342.,22046342.
3  3183-95,030 3183-95
19 4148.,19004148.
17 15639.,17015639.
16 547.,16000547.
21 75486.,21075486.
22 90354.,22090354.
22 30610.002,22030610.002
22 26969.,22026969.
22 35072-3,22035072-3
20 15440.,20015440.
19 8731.,19008731.
9  13517.,09 13517.
16 45674.,16045674.
9  14609-10,09 14609-10
8  7924.,080 7924.
15 8847.,15008847.
21 72854.,21072854.
22 48871.,22048871.
1  5357.,010 5357.
17 14878.,17014878.
22 101631.,22101631.
10 3967.,10003967.
3  100-32,0300 100-32
22 5696-7,22005696-7
4  941.,0400 941.
22 79191.,22079191.
19 6392.,19006392.
18 18155.,18018155.
19 1258.,19001258.
14 12808.,14012808.
22 46646.,22046646.
13 22182.,13022182.
22 34250.,22034250.
21 29054.,21029054.
22 104965.029,22104965.029
21 62709.,21062709.
7  790.,0700 790.
19 6266.,19006266.
16 21353.,16021353.
16 10307.,16010307.
22 83001.,22083001.
16 32907.,16032907.
18 9960.,18009960.
18 12703.,18012703.
15 10755.,15010755.
21 36906.,21036906.
18 12751.,18012751.
20 3689.,20003689.
22 65501.002,22065501.002
21 28489.,21028489.
21 47054.,21047054.
21 15095.,21015095.
12 11735.,12011735.
4  2022.,040 2022.
21 58786.,21058786.
6  5652.,060 5652.
3  2037.,030 2037.
22 41823.,22041823.
22 89583.,22089583.
22 17614.002,22017614.002
9  7362.,090 7362.
1  4043-9,010 4043-9
20 5114.,20005114.
22 81892.,22081892.
10 4296.,10004296.
22 60155.,22060155.
8  3059.,080 3059.
3  1479-80,030 1479-80
21 35763.,21035763.
18 2749.,18002749.
22 62741.,22062741.
16 44480.,16044480.
22 53084.,22053084.
21 54014.,21054014.
22 40926.,22040926.
2  2364.,020 2364.
21 74666.,21074666.
19 6794.,19006794.
9  996.,0900 996.
22 87924.,22087924.
16 28668.,16028668.
22 11742.,22011742.
22 37531.,22037531.
10 6517.,10006517.
21 28987.,21028987.
6  5343.,060 5343.
21 32408.,21032408.
21 71355.,21071355.
17 6629.,17006629.
22 109783.,22109783.
4  1755.,040 1755.
22 123867.002L,22123867.002L
8  7558.,080 7558.
12 4183.,12004183.
9  2837.,090 2837.
22 30589-90,22030589-90
22 44022-3,22044022-3
21 67593.,21067593.
16 5228.,16005228.
22 40854.,22040854.
9  6150.,090 6150.
1  8195.,010 8195.
20 16336.,20016336.
21 32322.,21032322.
21 73128.,21073128.
18 13385.,18013385.
22 10194-5,22010194-5
21 33984.,21033984.
22 100362.,22100362.
21 33003.,21033003.
18 411-4,18000411-4
19 6066.,19006066.
1  272-4,0100 272-4
21 3982.002L,21003982.002L
14 9512-6,14009512-6
22 52425.,22052425.
15 10292-303,15010292-303
21 47334.,21047334.
21 73346.,21073346.
22 38094.031,22038094.031
16 24251-3,16024251-3
3  1.002,030000 1.002
21 51923.,21051923.
22 91370.,22091370.
12 12589.,12012589.
18 4401.,18004401.
17 11743.,17011743.
1  4138.,010 4138.
21 15758.,21015758.
21 42730.,21042730.
13 9226-7,13009226-7
15 4823.,15004823.
18 9947-55,18009947-55
16 7898.,16007898.
21 27293.,21027293.
16 32949.,16032949.
2 1973.,02001973.
22 48441.,22048441.
22 90696.,22090696.
21 74584.,21074584.
9  14284.,09 14284.
22 33911.,22033911.
22 70949.,22070949.
9  8364.,090 8364.
20 15892.,20015892.
19 6292.,19006292.
22 66150.,22066150.
16 38641.,16038641.
2  5157.,020 5157.
22 24352.,22024352.
5  100-99,0500 100-99
18 11066.,18011066.
1  4068-86,010 4068-86
21 13164.,21013164.
9  8949.,090 8949.
21 67056.,21067056.
22 31150.,22031150.
22 78879.,22078879.
13 13949.,13013949.
22 82872.,22082872.
18 568.,18000568.
22 108455.,22108455.
20 9797.,20009797.
15 4568.,15004568.
21 51469.,21051469.
16 30590.,16030590.
17 9136.,17009136.
15 4246.,15004246.
22 94725.,22094725.
18 6708.,18006708.
20 4881.,20004881.
17 7096.,17007096.
21 79570-1,21079570-1
21 2760-71,21002760-71
10 8766.,10008766.
22 57606.,22057606.
20 12871.006,20012871.006
22 92259.,22092259.
21 10420.,21010420.
22 19029.015,22019029.015
22 7824.,22007824.
22 120341.,22120341.
22 800-1,22000800-1
8  6461-0,080 6461-0
20 13682.,20013682.
17 6180.,17006180.
22 120035.,22120035.
22 32175.,22032175.
4  113.,0400 113.
22 1020.,22001020.
22 44329.,22044329.
21 59825.,21059825.
12 221.,12000221.
22 83703.,22083703.
21 77108.,21077108.
22 115781.,22115781.
13 7342.,13007342.
9  5097.,090 5097.
20 5170.,20005170.
22 7454-60,22007454-60
15 5933.,15005933.
16 39990.,16039990.
21 74666.,21074666.
22 2317-8,22002317-8
22 49713-7,22049713-7
22 48197.,22048197.
21 4134-5,21004134-5
18 15303.,18015303.
21 68774.,21068774.
7  892.,0700 892.
22 46752.,22046752.
18 10959.,18010959.
16 28875.,16028875.
22 6423.,22006423.
6  776-84,0600 776-84
16 10132.,16010132.
8  8214.,080 8214.
6  2327.,060 2327.
20 8343.,20008343.
2  2015.,020 2015.
13 20195.,13020195.
13 19533-4,13019533-4
21 29092.,21029092.
22 86991.,22086991.
16 17376.,16017376.
22 113928-9,22113928-9
9  7097.,090 7097.
1  4010.,010 4010.
12 8005-7,12008005-7
3  1317-24,030 1317-24
21 13235.,21013235.
22 55079.,22055079.
22 113589-90,22113589-90
21 38946.,21038946.
18 16958.,18016958.
21 79820-1,21079820-1
20 14385.,20014385.
22 18468.003,22018468.003
14 10280.,14010280.
15 11585-6,15011585-6
21 51443.,21051443.
22 56951.,22056951.
17 16086.,17016086.
22 86221.,22086221.
22 54797.,22054797.
21 2.001,21000002.001
21 8740.,21008740.
15 4537.,15004537.
1  4059.010,010 4059.010
16 43347.,16043347.
22 9842-3,22009842-3
22 87370.,22087370.
22 28779.,22028779.
2  3693.,020 3693.
4  2234.,040 2234.
18 18732.,18018732.
10 7560.,10007560.
18 16687.,18016687.
21 64535.,21064535.
22 20866.001,22020866.001
17 9317.,17009317.
22 67455.,22067455.
21 39429.,21039429.
16 33343.,16033343.
22 60842.,22060842.
8  3322.,080 3322.
18 2400.,18002400.
22 118298.,22118298.
22 105490.,22105490.
12 4596.,12004596.
13 2739.,13002739.
5  47-9,05000 47-9
6  406-7,0600 406-7
21 69788.,21069788.
17 1717.,17001717.
22 63909.,22063909.
2  4846.,020 4846.
16 15722.,16015722.
2  370.002L,0200 370.002L
2  463.,0200 463.
21 73209.,21073209.
1  1666.,010 1666.
22 81251.,22081251.
4  3322-38,040 3322-38
13 12699.,13012699.
16 28658.,16028658.
1  889-983,0100 889-983
21 33082.,21033082.
18 12287.,18012287.
22 67.,22000067.
2  2013.,020 2013.
17 14373.,17014373.
1  4378-9,010 4378-9
17 6560.,17006560.
18 18399.,18018399.
21 60975.,21060975.
18 18737.,18018737.
22 23315.,22023315.
16 4097.,16004097.
21 26089.,21026089.
9  18477-8,09 18477-8
1  3798.,010 3798.
19 9381.,19009381.
22 38061-4,22038061-4
1  7834.,010 7834.
22 37306.,22037306.
20 15975.001,20015975.001
11 312-91,11000312-91
13 18756.,13018756.
18 8161.002L,18008161.002L
9  20321.,09 20321.
21 3364.,21003364.
16 21321.,16021321.
4  2681.,040 2681.
22 38182.,22038182.
21 73444.,21073444.
21 19426.,21019426.
19 59-61,19000059-61
10 2772.,10002772.
6  872.,0600 872.
16 33360.,16033360.
22 52320.,22052320.
16 36253.,16036253.
22 35731.,22035731.
22 88727.,22088727.
1  269-71,0100 269-71
22 21411.,22021411.
22 104186.,22104186.
20 657.,20000657.
21 77327.,21077327.
22 88053.,22088053.
21 49848.,21049848.
4  828.,0400 828.
21 367-73,21000367-73
21 63792.,21063792.
22 57707.,22057707.
6  1121.002,060 1121.002
22 68002.,22068002.
16 26033.,16026033.
18 6681.,18006681.
13 11506.,13011506.
8  10575.,08 10575.
18 1311-23,18001311-23
21 29450.,21029450.
9  21147-8,09 21147-8
22 75990.,22075990.
22 120440.,22120440.
21 62659.,21062659.
20 17689.,20017689.
14 5613.,14005613.
21 64236.,21064236.
1  4125.001,010 4125.001
22 31372.,22031372.
16 1017.,16001017.
8  4916.,080 4916.
10 1259.,10001259.
22 111169.,22111169.
21 77223.,21077223.
20 4436.,20004436.
16 35641.,16035641.
22 125302.,22125302.
21 53137.,21053137.
21 69524.,21069524.
17 8639.001,17008639.001
22 71254.,22071254.
21 78898.,21078898.
12 5617.,12005617.
22 59367.,22059367.
3  3407-15,030 3407-15
2  4763.,020 4763.
22 77837.,22077837.
9  11979.,09 11979.
17 527.,17000527.
10 142.,10000142.
22 110649.009,22110649.009
22 87534.,22087534.
22 74119-36,22074119-36
22 114444.,22114444.
22 34533.,22034533.
20 3417.,20003417.
22 119358.002L,22119358.002L
15 12775.,15012775.
19 9160.,19009160.
10 7464.,10007464.
22 49849.,22049849.
21 35009.,21035009.
10 2631.,10002631.
10 2898.,10002898.
22 123958.,22123958.
22 21265.,22021265.
22 58819.021,22058819.021
2  5555.,020 5555.
20 13105.,20013105.
17 4854.,17004854.
2  1317.,020 1317.
22 71195.,22071195.
22 88971.,22088971.
16 21687.,16021687.
1  4235.171,010 4235.171
3  3240-60,030 3240-60
1  4068-86,010 4068-86
22 52504.,22052504.
22 50775-9,22050775-9
20 15875.,20015875.
12 7595-603,12007595-603
22 13053-8,22013053-8
16 33566.,16033566.
21 14661.,21014661.
22 62240.,22062240.
16 1711.,16001711.
21 78408.,21078408.
22 113657.,22113657.
21 66501.,21066501.
9  3937.,090 3937.
22 125793.,22125793.
6  2511.,060 2511.
21 67059.,21067059.
16 30496.,16030496.
17 8546.,17008546.
6  6078-9,060 6078-9
22 47866.002L,22047866.002L
19 8094.,19008094.
2  95-118,02000 95-118
21 31351.,21031351.
14 5128.,14005128.
15 10781.,15010781.
1  5272.,010 5272.
21 40460-1,21040460-1
17 3459.,17003459.
21 29258.,21029258.
2  194-5,0200 194-5
16 1182.,16001182.
10 6590.,10006590.
20 4316.,20004316.
17 8737.,17008737.
13 22146.,13022146.
16 15183.,16015183.
10 2819.,10002819.
22 19131-2,22019131-2
21 69041.,21069041.
19 58-61,19000058-61
22 99973.,22099973.
16 4083.,16004083.
21 69761.,21069761.
10 582-5,10000582-5
21 58476.,21058476.
17 6677.,17006677.
17 13.013,17000013.013
16 31614.,16031614.
16 34236.,16034236.
22 18685-7,22018685-7
2  890.,0200 890.
21 36087.,21036087.
2  2110.,020 2110.
16 25698.,16025698.
22 65419.,22065419.
21 66134.,21066134.
22 25152.,22025152.
22 25646.,22025646.
12 6369-76,12006369-76
1  277-8,0100 277-8
22 25546.,22025546.
16 30097-9,16030097-9
22 55254-5,22055254-5
17 481.,17000481.
22 57163.,22057163.
14 5043.,14005043.
21 79908.,21079908.
22 55145.,22055145.
18 16015.,18016015.
22 48669.,22048669.
16 17752-3,16017752-3
15 11241.,15011241.
3  3183-95,030 3183-95
22 88857.,22088857.
2  4178.003,020 4178.003
22 22564.,22022564.
1  188.,0100 188.
2  4824.,020 4824.
16 9444.,16009444.
1  5-6,010000 5-6
2  2245.,020 2245.
22 28690.,22028690.
22 122894.012,22122894.012
11 2279-83,11002279-83
22 63991.,22063991.
22 47521.,22047521.
17 23-5,17000023-5
2  1804.,020 1804.
17 9711-3,17009711-3
22 103535.,22103535.
3  3171-82,030 3171-82
21 26311.,21026311.
22 114585.,22114585.
9  10483.,09 10483.
20 5133.,20005133.
9  8007.,090 8007.
1  2264.,010 2264.
2  765-7,0200 765-7
22 45204.,22045204.
21 16065.,21016065.
2  1199.002,020 1199.002
22 78636.,22078636.
22 92831.,22092831.
22 125712.,22125712.
4  2137.,040 2137.
21 32598.,21032598.
7  11.,07000 11.
12 13177-89,12013177-89
16 4362.,16004362.
16 21938.,16021938.
17 6676.,17006676.
18 14031.,18014031.
1  5993.,010 5993.
22 109104.,22109104.
22 63090.,22063090.
22 110248.,22110248.
22 20584.,22020584.
20 11419.,20011419.
22 102181.005,22102181.005
15 5775.,15005775.
22 9303.,22009303.
19 10475.,19010475.
2  95-118,02000 95-118
1  1936.,010 1936.
2  1801.001,020 1801.001
